All Relief Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Nate's Team,"Chris Sale SP,RP | ATL ",162,27,27,17,0,11,5,0,0,0,202,44,147,3.22,1.18,37
Cornballers,Mason Miller RP | SD,69,66,0,0,0,2,3,38,6,3,112,26,32,2.35,0.84,56
FA,Edwin Diaz RP | LAD,68,68,0,0,0,2,3,38,7,3,97,23,37,2.12,0.88,66
Bed Stuy Fish Fry,Andres Munoz RP | SEA,62,66,0,0,0,2,2,39,7,3,71,24,30,1.60,0.87,75
FA,"Joe Ryan SP,RP | MIN ",153,27,27,15,0,11,8,0,0,0,167,33,127,3.23,1.05,76
The Dulcet Tones of Vincent Scully,Jhoan Duran RP | PHI,63,66,0,0,0,2,2,37,6,3,72,18,50,2.29,1.08,78
FA,Cade Smith RP | CLE,58,73,0,0,0,2,2,30,9,3,81,15,40,2.64,0.95,80
The Dulcet Tones of Vincent Scully,Aroldis Chapman RP | BOS,56,68,0,0,0,2,2,35,4,3,80,20,31,1.93,0.91,87
American Double IPAs,David Bednar RP | NYY,53,56,0,0,0,2,2,38,6,3,65,18,39,3.06,1.08,97
Los Pollos,Devin Williams RP | NYM ,64,70,0,0,0,2,3,32,6,3,91,26,44,4.22,1.09,102
Brophy's Choice,"Chase Burns SP,RP | CIN ",129,26,26,9,0,5,7,0,0,0,169,40,116,3.91,1.21,103
Los Pollos,Josh Hader RP | HOU ,57,61,0,0,0,2,2,32,2,3,76,17,31,2.53,0.84,112
Orchids of Asia Day Spa,Raisel Iglesias RP | ATL,65,69,0,0,0,2,2,32,5,3,62,13,40,2.49,0.82,113
Honeynut Ichiros,"Nick Lodolo SP,RP | CIN ",147,26,26,13,1,10,7,0,0,0,148,34,134,3.43,1.14,119
Izzy Alcantara's New Backstop Busters,Ryan Helsley RP | BAL ,65,67,0,0,0,1,3,23,5,3,73,26,62,3.74,1.35,120
Brophy's Choice,"Emmet Sheehan SP,RP | LAD ",136,26,26,8,0,11,5,0,0,0,156,38,110,3.51,1.09,126
The Dulcet Tones of Vincent Scully,Jeff Hoffman RP | TOR ,60,68,0,0,0,2,2,35,9,3,78,21,45,3.60,1.10,131
Honeynut Ichiros,"Jacob Misiorowski SP,RP | MIL ",127,26,26,7,0,9,6,0,0,0,161,45,100,3.40,1.14,138
Orchids of Asia Day Spa,Emilio Pagan RP | CIN,65,67,0,0,0,2,1,32,6,3,73,19,43,3.05,0.95,139
Izzy Alcantara's New Backstop Busters,Carlos Estevez RP | KC ,62,66,0,0,0,2,2,32,5,3,48,17,40,2.32,0.92,140
Honeynut Ichiros,"Bubba Chandler SP,RP | PIT ",135,26,26,9,0,8,9,0,0,0,129,39,131,4.20,1.26,141
Brophy's Choice,Daniel Palencia RP | CHC,64,65,0,0,0,2,3,35,5,3,64,21,50,3.09,1.11,148
American Double IPAs,Kenley Jansen RP | DET,66,66,0,0,0,2,1,30,2,3,62,20,40,2.73,0.91,159
FA,Pete Fairbanks RP | MIA,63,65,0,0,0,2,2,33,6,3,61,20,47,3.00,1.06,161
Orchids of Asia Day Spa,Trevor Megill RP | MIL ,69,73,0,0,0,2,2,35,6,3,78,21,47,2.35,0.99,180
The Powers of Matthew Starr,"Cade Horton SP,RP | CHC ",148,29,29,7,0,13,5,0,0,0,124,46,132,3.28,1.20,181
Cornballers,Dennis Santana RP | PIT,69,70,0,0,0,2,3,28,5,3,60,18,47,2.74,0.94,198
FA,"Griffin Jax SP,RP | TB",59,72,0,0,0,1,3,25,7,3,83,16,50,3.36,1.12,221
Nate's Team,Abner Uribe RP | MIL ,69,75,0,0,0,2,1,9,2,37,75,27,45,2.09,1.04,222
Izzy Alcantara's New Backstop Busters,"Ryne Nelson SP,RP | ARI ",152,27,27,14,0,8,4,0,0,0,128,37,132,3.38,1.11,258
FA,Ryan Walker RP | SF,58,66,0,0,0,2,2,32,10,3,61,15,47,3.10,1.07,259
FA,"Sean Manaea SP,RP | NYM",135,26,26,8,0,8,5,0,0,0,144,43,113,3.47,1.16,260
Bed Stuy Fish Fry,"Quinn Priester SP,RP | MIL ",162,30,30,12,0,11,7,0,0,0,136,52,155,3.61,1.28,261
AIDS,Bryan Abreu RP | HOU,83,87,0,0,0,2,2,1,0,41,113,34,58,2.49,1.11,267
Nate's Team,Riley O'Brien RP | STL ,66,75,0,0,0,1,3,24,7,3,69,36,54,3.00,1.36,268
The Powers of Matthew Starr,Seranthony Dominguez RP | CHW,52,63,0,0,0,1,3,24,7,3,69,32,42,3.98,1.42,269
Cornballers,"Roki Sasaki SP,RP | LAD ",53,25,14,4,0,4,3,0,0,1,36,28,38,3.40,1.25,273
American Double IPAs,Matt Svanson RP | STL,108,76,0,0,0,9,3,1,0,11,127,37,62,2.00,0.92,281
