All Starting Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
FA,"Shohei Ohtani U,SP | LAD",103,26,26,5,0,6,2,0,0,0,133,21,74,2.71,0.92,3
FA,Tarik Skubal SP | DET ,189,30,30,23,1,13,6,0,0,0,227,44,156,2.76,1.06,10
Cornballers,Garrett Crochet SP | BOS ,155,27,27,17,1,13,6,0,0,0,192,36,142,3.19,1.15,12
Brophy's Choice,Paul Skenes SP | PIT ,181,30,30,21,1,10,8,0,0,0,204,40,135,2.34,0.97,13
Orchids of Asia Day Spa,Yoshinobu Yamamoto SP | LAD ,154,27,27,17,1,13,5,0,0,0,167,45,121,2.98,1.08,35
Nate's Team,"Chris Sale SP,RP | ATL ",162,27,27,17,0,11,5,0,0,0,202,44,147,3.22,1.18,37
FA,Logan Gilbert SP | SEA,165,30,30,15,0,9,8,0,0,0,193,37,135,3.38,1.04,38
Nate's Team,Cristopher Sanchez SP | PHI ,163,27,27,19,1,10,5,0,0,0,163,37,156,2.87,1.18,39
Nate's Team,Bryan Woo SP | SEA,178,29,29,20,0,15,6,0,0,0,172,34,139,2.98,0.97,40
Olympic-Size Swimming Pool Up On The Roof,Hunter Brown SP | HOU ,156,27,27,19,1,11,7,0,0,0,165,51,133,3.12,1.18,44
Northeastern Oklahoma A&M,Jacob deGrom SP | TEX ,155,27,27,13,0,11,6,0,0,0,162,37,120,3.08,1.01,46
Los Pollos,Max Fried SP | NYY ,181,30,30,19,1,15,7,0,0,0,175,60,164,3.33,1.24,47
Northeastern Oklahoma A&M,Cole Ragans SP | KC ,144,27,27,13,0,8,6,0,0,0,187,45,123,3.31,1.17,49
Orchids of Asia Day Spa,George Kirby SP | SEA ,160,29,29,16,0,14,8,0,0,0,162,32,143,3.66,1.09,67
Brophy's Choice,Logan Webb SP | SF ,187,30,30,21,0,14,8,0,0,0,182,53,185,3.37,1.27,68
FA,"Joe Ryan SP,RP | MIN ",153,27,27,15,0,11,8,0,0,0,167,33,127,3.23,1.05,76
FA,Jesus Luzardo SP | PHI ,153,27,27,16,0,13,6,0,0,0,167,46,135,3.47,1.18,77
Olympic-Size Swimming Pool Up On The Roof,Freddy Peralta SP | NYM ,161,30,30,12,0,13,7,0,0,0,178,60,143,3.80,1.26,79
Olympic-Size Swimming Pool Up On The Roof,Framber Valdez SP | DET ,185,30,30,21,2,14,10,0,0,0,172,57,184,3.84,1.30,81
The Powers of Matthew Starr,Kyle Bradish SP | BAL,139,27,27,11,0,6,5,0,0,0,169,40,130,3.56,1.22,82
FA,Dylan Cease SP | TOR ,149,27,27,9,0,8,9,0,0,0,179,58,134,4.29,1.29,83
Olympic-Size Swimming Pool Up On The Roof,Eury Perez SP | MIA ,128,26,26,6,0,9,8,0,0,0,136,39,91,3.31,1.02,96
The Powers of Matthew Starr,Nick Pivetta SP | SD ,153,27,27,16,0,10,6,0,0,0,165,43,126,3.41,1.10,100
Brophy's Choice,"Chase Burns SP,RP | CIN ",129,26,26,9,0,5,7,0,0,0,169,40,116,3.91,1.21,103
Olympic-Size Swimming Pool Up On The Roof,Kevin Gausman SP | TOR ,183,30,30,16,1,12,9,0,0,0,170,50,157,3.59,1.13,110
The Dulcet Tones of Vincent Scully,Nolan McLean SP | NYM ,166,30,30,14,0,12,7,0,0,0,174,62,146,3.31,1.25,111
Brophy's Choice,Tyler Glasnow SP | LAD ,139,26,26,13,0,7,5,0,0,0,160,54,105,3.56,1.14,114
Izzy Alcantara's New Backstop Busters,Brandon Woodruff SP | MIL ,158,29,29,14,0,12,10,0,0,0,178,44,130,3.65,1.10,117
Northeastern Oklahoma A&M,Trevor Rogers SP | BAL,154,27,27,14,1,9,7,0,0,0,137,48,126,2.75,1.13,118
Honeynut Ichiros,"Nick Lodolo SP,RP | CIN ",147,26,26,13,1,10,7,0,0,0,148,34,134,3.43,1.14,119
Brophy's Choice,"Emmet Sheehan SP,RP | LAD ",136,26,26,8,0,11,5,0,0,0,156,38,110,3.51,1.09,126
Izzy Alcantara's New Backstop Busters,Spencer Strider SP | ATL ,150,27,27,14,0,13,10,0,0,0,156,48,137,3.48,1.23,127
The Compleat Works of Mtt McQny,Cameron Schlittler SP | NYY ,139,26,26,12,0,8,7,0,0,0,152,50,116,2.85,1.19,129
The Powers of Matthew Starr,Trey Yesavage SP | TOR ,149,29,29,8,0,10,9,0,0,0,164,48,131,3.62,1.20,130
American Double IPAs,Sandy Alcantara SP | MIA ,162,27,27,12,0,11,9,0,0,0,137,47,139,3.72,1.15,132
FA,Blake Snell SP | LAD ,135,23,23,13,0,10,7,0,0,0,162,45,111,3.00,1.16,136
The Compleat Works of Mtt McQny,Gavin Williams SP | CLE ,145,27,27,12,0,10,6,0,0,0,147,55,117,3.04,1.19,137
Honeynut Ichiros,"Jacob Misiorowski SP,RP | MIL ",127,26,26,7,0,9,6,0,0,0,161,45,100,3.40,1.14,138
Honeynut Ichiros,"Bubba Chandler SP,RP | PIT ",135,26,26,9,0,8,9,0,0,0,129,39,131,4.20,1.26,141
FA,Hunter Greene SP | CIN ,173,30,30,17,1,11,6,0,0,0,197,50,145,3.07,1.13,142
Northeastern Oklahoma A&M,Nathan Eovaldi SP | TEX ,160,27,27,18,1,11,6,0,0,0,152,35,132,2.76,1.04,144
