Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Mason Miller,SDP,3.142,2.24662,0.0519056,2.48444,59.5553,0.070982,32.9847,2.30706,3.95718,64.1259,252.428,39.1441,19.2411,17.7018,5.66074,24.4397,1.52766,2.23805,98.3669,13.8057,3.43009,4.02487,0.794479,0.389683,0.0968186,0.292864166,0.173396,0.991548,0.275079,0.796688,,,2.46285,1.37615,1.50034,29.56999969482422,2.91439,-0.861535,2.15739,2.91439,0.861535,2.12348,589.4000000000001,9.209375000000001,533,8.328125,,,,,,,,,,,,,,,,,,,Mason Miller,31757,695243
Cade Smith,CLE,4.89868,3.67809,0,2.93044,66.5045,0,31.7514,3.11249,4.9447,68.3798,274.403,52.3451,24.2008,22.2648,5.56991,19.5803,1.52073,3.49236,88.2997,11.6218,2.57711,4.50962,0.733099,0.321788,0.071356,0.2504323869943619,0.208272,1.05185,0.297059,0.744213,,,2.62369,1.31625,1.12123,40.869998931884766,1.96175,0.759568,1.93792,1.96175,-0.759568,2.4161,573.2,8.429411764705883,541,7.955882352941177,,,,,,,,,,,,,,,,,,,Cade Smith,27867,671922
Grant Taylor,CHW,3.85788,4.32772,0.656976,3.43683,67.0989,2.40172,6.51897,14.4278,2.45281,80.3809,334.803,66.7879,33.3642,30.695,6.69183,31.3761,1.61769,2.59012,95.9743,10.7459,3.51309,3.05883,0.749263,0.286659,0.0937151,0.1929435208439827,0.222007,1.22124,0.303254,0.729765,,,3.09712,1.2087,1.01314,497.44000244140625,5.13494,-1.30532,0.721166,5.13494,1.30532,4.03845,512.7,6.40875,490,6.125,,,,,,,,,,,,,,,,,,,Grant Taylor,33927,691799
Jhoan Duran,PHI,5.09191,3.88308,0,2.87984,65.4948,0,32.4727,1.96242,4.40509,66.5425,271.528,54.4187,23.144,21.2925,4.94141,19.952,2.3754,3.51808,76.5328,10.3512,2.69854,3.83586,0.668335,0.28186,0.0734804,0.208379865,0.219379,1.11764,0.297012,0.759446,,,2.85836,1.1451,1.31215,41.61000061035156,2.31781,0.62206,2.0342,2.31781,-0.62206,2.28774,543.9,8.117910447761194,520,7.7611940298507465,,,,,,,,,,,,,,,,,,,Jhoan Duran,21029,661395
Griffin Jax,TBR,3.52136,4.03201,0,3.09322,62.0352,0.10829,14.0318,13.2235,5.5782,62.9117,253.752,50.3865,23.5024,21.6222,6.09057,17.4188,1.71415,2.32991,79.6655,11.3968,2.49189,4.57354,0.871302,0.31395,0.0686449,0.24530533701181412,0.215324,1.07778,0.298797,0.747369,,,2.80281,1.09721,0.919849,167.92999267578125,2.45128,-0.315948,1.2367,2.45128,0.315948,3.35107,487.4000000000001,7.736507936507938,462,7.333333333333333,,,,,,,,,,,,,,,,,,,Griffin Jax,20253,643377
Edwin Díaz,LAD,4.73965,2.98649,0,3.04352,61.4296,0,36.1,1.49066,4.92853,64.0294,258.556,46.5323,23.5356,21.6528,6.47,21.9043,0.717815,3.96416,87.5932,12.3121,3.07888,3.99891,0.909426,0.338778,0.0847177,0.2540605142712593,0.199978,1.06883,0.288999,0.756181,,,2.92475,1.00856,0.974462,33.459999084472656,1.45219,0.264849,2.19289,1.45219,-0.264849,2.07614,559.5999999999999,8.743749999999999,524,8.1875,,,,,,,,,,,,,,,,,,,Edwin Diaz,14710,621242
Bryan Abreu,HOU,3.16397,2.6058,0,3.12912,64.8945,0,9.42402,20.4081,4.34478,67.4715,279.1,50.9836,25.4984,23.4585,6.68347,27.7692,0.72155,3.8229,90.277,12.042,3.70412,3.25098,0.891507,0.323457,0.0994954,0.22396202385425568,0.205988,1.1672,0.29426,0.7674,,,3.15155,0.995037,0.976828,202.49000549316406,0.701764,-0.331448,1.01893,0.701764,0.331448,3.64143,486.0999999999999,7.255223880597014,453,6.7611940298507465,,,,,,,,,,,,,,,,,,,Bryan Abreu,16609,650556
Aroldis Chapman,BOS,4.1672,3.40537,0,3.02292,58.1764,0,30.2652,2.52668,3.98595,57.8212,236.472,41.4711,21.1098,19.421,5.22776,24.7718,0.752971,1.96955,79.3098,12.3448,3.85579,3.20162,0.813714,0.335388,0.104756,0.2306319698691368,0.197735,1.14565,0.289499,0.765954,,,2.95467,0.973589,1.01519,62.689998626708984,1.38903,0.019308,1.94591,1.38903,-0.019308,2.40546,500.1,8.622413793,464,8,,,,,,,,,,,,,,,,,,,Aroldis Chapman,10233,547973
Devin Williams,NYM,4.55866,4.20314,0,3.17798,63.822,0,31.1353,3.2819,3.93111,64.5881,264.777,47.2938,24.7898,22.8067,5.6282,26.7872,1.16079,3.21921,83.7782,11.674,3.73265,3.12755,0.784259,0.31641,0.101169,0.21524128317832947,0.201447,1.14698,0.286629,0.744562,,,3.06747,0.916659,0.924229,62.869998931884766,2.31739,-1.39546,1.93916,2.31739,1.39546,2.41446,530,8.153846153846153,492,7.569230769230769,,,,,,,,,,,,,,,,,,,Devin Williams,15816,642207
Jeremiah Estrada,SDP,3.7449,3.05438,0,3.38854,65.2198,0,3.01639,21.6728,2.2542,66.6023,273.577,51.3275,27.2566,25.076,8.36786,26.0642,1.72846,2.37233,87.6579,11.8453,3.52207,3.36315,1.13075,0.320414,0.0952721,0.22514226287603378,0.20938,1.162,0.288098,0.763363,,,3.41705,0.906556,0.824678,593.7899780273438,2.42004,-0.845797,0.774823,2.42004,0.845797,3.9669,459.79999999999995,6.862686567164179,426,6.358208955223881,,,,,,,,,,,,,,,,,,,Jeremiah Estrada,22210,669093
Abner Uribe,MIL,3.44937,2.60426,0,3.17677,64.7033,0,16.6459,15.7282,3.37187,66.7883,278.825,52.2551,25.6246,23.5746,5.06024,28.883,1.95969,3.6203,77.9314,10.5016,3.89211,2.69817,0.681888,0.2795,0.103589,0.1759110987186432,0.212142,1.21485,0.288955,0.749638,,,3.24639,0.869092,0.941433,163.49000549316406,2.08396,-0.65915,1.29257,2.08396,0.65915,3.27657,505.09999999999997,7.538805970149253,476,7.104477611940299,,,,,,,,,,,,,,,,,,,Abner Uribe,25327,682842
Garrett Whitlock,BOS,4.307,3.11579,0.000715856,3.35458,57.7229,0.000978949,4.3531,19.0327,2.15086,64.1131,263.002,55.5322,25.9749,23.8969,6.25138,18.0663,0.901335,2.83469,70.8944,9.95193,2.5361,3.92411,0.877549,0.269558,0.0686927,0.20086512714624405,0.229376,1.14795,0.298752,0.734404,,,3.16917,0.8458,0.834888,663.4799805,1.82304,-2.27737,0.852097,1.82304,2.27737,3.86387,429.19999999999993,6.706249999999999,417,6.515625,,,,,,,,,,,,,,,,,,,Garrett Whitlock,20191,676477
Carmen Mlodzinski,PIT,3.99125,4.34521,1.10995,3.76337,46.3041,4.8813,0,3.37567,1.85829,74.2627,313.858,70.0141,33.7534,31.0531,7.39869,24.6916,0.852582,3.04805,66.8289,8.09909,2.99241,2.70654,0.896658,0.212927,0.0786712,0.13425591588020325,0.244703,1.27528,0.295508,0.722633,,,3.75111,0.821282,0.864599,999,2.08576,1.84437,0.568207,2.08576,-1.84437,4.24239,341.5,4.614864864864865,341,4.608108108108108,,,,,,,,,,,,,,,,,,,Carmen Mlodzinski,27572,669387
