Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,13.9904,6.59342,17.9931,2.71576,29.3604,29.3604,0,0,0,188.182,736.152,143.799,61.7219,56.7842,18.3148,38.3612,0.651329,6.38173,228.064,10.9074,1.83467,5.94518,0.875925,0.309806,0.0521105,0.25769567862153053,0.20798,0.968,0.281968,0.769478,,,2.68978,5.87645,5.79059,6.929999828338623,3.34175,-1.21308,2.0418,3.34175,1.21308,2.27761,1119.4,5.9542553191489365,1030,5.4787234042553195,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373
Paul Skenes,PIT,12.0626,7.79914,17.4435,2.75617,29.7868,29.7868,0,0,0,184.214,731.792,143.505,61.3193,56.4138,15.2622,45.8032,0.836506,6.42146,220.843,10.7896,2.23777,4.82156,0.745654,0.301784,0.0625905,0.23919319361448288,0.211171,1.02766,0.289186,0.762106,,,2.66501,5.65075,5.95013,10.380000114440918,1.9089,-0.391519,1.78229,1.9089,0.391519,2.62361,1088.7000000000003,5.916847826086958,1011,5.494565217391305,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973
Garrett Crochet,BOS,13.5587,7.79081,15.4267,3.04541,28.8645,28.8645,0,0,0.70158,180.44,721.272,144.455,66.3665,61.0572,19.2174,46.6642,1.78464,5.07216,221.43,11.0445,2.32752,4.74519,0.958529,0.307,0.0646971,0.24230262637138367,0.215754,1.05918,0.292005,0.759692,,,2.92551,5.00562,5.03273,11.949999809265137,4.8461,-1.20644,1.44759,4.8461,1.20644,3.06989,1009.9,5.610555555555555,939,5.216666666666667,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979
Logan Webb,SFG,13.0328,9.51178,16.8794,3.30003,29.865,29.865,0,0.176214,0,192.812,792.782,181.741,76.846,70.6983,15.3249,44.1893,0.892065,5.77014,182.639,8.52515,2.06265,4.1331,0.71533,0.230377,0.0557395,0.17463716119527817,0.244663,1.17177,0.30543,0.729106,,,3.05124,4.83281,4.47817,60.81999969482422,4.22097,-0.648927,1.14092,4.22097,0.648927,3.47878,986.5,5.111398964,986,5.108808290155441,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277
Cristopher Sánchez,PHI,11.9393,7.43812,16.4294,3.18838,28.9657,28.9657,0,0,0,185.009,755.399,165.729,71.2416,65.5422,15.8938,45.4862,2.14893,5.80719,179.587,8.73625,2.21273,3.94817,0.773172,0.237738,0.0602148,0.17752361297607422,0.235375,1.14165,0.294589,0.740743,,,3.14229,4.50495,4.84478,25.799999237060547,3.50489,-0.88203,1.11383,3.50489,0.88203,3.5149,947.6,5.122162162162162,924,4.994594594594594,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911
Chris Sale,ATL,10.9042,6.19985,13.9011,3.18384,25.4772,25.4772,0,0,0,156.066,632.874,128.21,60.0108,55.2099,16.5587,41.0306,0.658092,8.89585,192.052,11.0752,2.36615,4.68069,0.954905,0.303459,0.0648322,0.23862704634666443,0.219933,1.08441,0.298263,0.747849,,,3.01301,3.87592,3.9898,39.029998779296875,3.20585,-0.25796,1.10841,3.20585,0.25796,3.52212,846.5000000000002,5.426282051282053,793,5.083333333333333,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242
Yoshinobu Yamamoto,LAD,12.1842,6.74698,13.7442,3.24594,26.3994,26.3994,0,0,0,160.234,649.547,130.179,62.8153,57.7901,15.7588,47.1291,0.72725,4.95039,174.171,9.78278,2.64714,3.69561,0.885135,0.268142,0.0725569,0.195584737,0.217885,1.10656,0.28076,0.737494,,,3.21478,3.76433,3.80289,26.969999313354492,3.54645,-0.459352,1.03346,3.54645,0.459352,3.62206,841.2,5.2575,784,4.9,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,808967
Cole Ragans,KCR,10.0098,7.78826,12.7655,3.42522,25.7876,25.7876,0,0,0,151.427,618.854,120.084,62.6414,57.6301,16.3367,53.2449,1.72484,4.87208,187.755,11.1592,3.16459,3.52626,0.970963,0.303392,0.0860379,0.21735387295484543,0.214155,1.14464,0.290899,0.735673,,,3.20921,3.68518,3.18785,45.619998931884766,4.00279,-0.613275,0.891647,4.00279,0.613275,3.81114,810.6000000000001,5.368211920529802,749,4.960264900662252,,,,,,,,,,,,,,,,,,,Cole Ragans,21846,666142
Framber Valdez,DET,12.756,9.5326,15.8761,3.48998,28.6761,28.6761,0,0,0,186.042,776.222,165.643,78.4156,72.1424,15.8157,61.1063,0.721632,8.09093,173.228,8.38009,2.95609,2.83486,0.765103,0.223168,0.0787227,0.14444489032030106,0.234282,1.21881,0.289252,0.724968,,,3.49387,3.63506,3.78107,86.51000213623047,3.66374,-2.14227,1.13189,3.66374,2.14227,3.49081,887.0000000000001,4.768817204301076,861,4.629032258064516,,,,,,,,,,,,,,,,,,,Framber Valdez,17295,664285
Max Fried,NYY,13.7656,8.0777,15.7561,3.31898,28.6011,28.6011,0,0.175779,0,179.447,738.636,156.92,71.9303,66.1759,16.4448,52.4535,0.85285,7.07075,170.015,8.52692,2.63075,3.24125,0.824774,0.230174,0.071014,0.1591600403189659,0.231066,1.16677,0.28514,0.737551,,,3.42673,3.61356,4.08295,51.95000076293945,2.49772,-1.60952,1.13523,2.49772,1.60952,3.48636,882.6000000000001,4.930726256983241,850,4.748603351955308,,,,,,,,,,,,,,,,,,,Max Fried,13743,608331
