Team,Wins,xWins,LUCK
AIDS,88,78.759404803989057,9.2405951960109434
DIPA,67,55.011791366043475,11.988208633956525
FISHFRY,83,82.579082216384691,0.42091778361530885
BALK,70,67.882764958942616,2.1172350410573841
CHOICE,93,91.103247573496915,1.8967524265030846
MICE,66,64.870660275222249,1.1293397247777506
CORN,56,58.255082913961921,-2.2550829139619211
ICHI,63,70.608533067808807,-7.608533067808807
BUSTERS,74,74.182966873841593,-0.18296687384159327
POLLOS,63,60.203551104828172,2.796448895171828
WORKS,70,75.643773353664315,-5.6437733536643151
PWRS,79,76.816211614236423,2.1837883857635774
WHACK,72,74.564155531575153,-2.5641555315751532
WIND,64,75.130990293971848,-11.130990293971848
