Team,xBat,xPit,xWins,4 Categories Contested
BALK,3.0,4.0,7.0,OBP OPS ERA aWHIP 
MICE,3.0,2.0,5.0,OBP OPS ERA aWHIP 
 
Team,xBat,xPit,xWins,2 Categories Contested
DIPA,1.0,3.0,4.0,OBP HRA 
WORKS,5.0,3.0,8.0,OBP HRA 
 
Team,xBat,xPit,xWins,4 Categories Contested
WIND,4.0,3.0,7.0,OBP OPS VIJAY aWHIP 
POLLOS,2.0,3.0,5.0,OBP OPS VIJAY aWHIP 
 
Team,xBat,xPit,xWins,7 Categories Contested
BUSTERS,2.0,3.0,5.0,OBP OPS ERA HRA K VIJAY aWHIP 
PWRS,4.0,3.0,7.0,OBP OPS ERA HRA K VIJAY aWHIP 
 
Team,xBat,xPit,xWins,7 Categories Contested
AIDS,2.0,2.0,4.0,OBP OPS aRBI aSB ERA HRA aWHIP 
CHOICE,4.0,4.0,8.0,OBP OPS aRBI aSB ERA HRA aWHIP 
 
Team,xBat,xPit,xWins,6 Categories Contested
ICHI,2.0,3.0,5.0,OBP OPS aRBI ERA HRA aWHIP 
WHACK,4.0,3.0,7.0,OBP OPS aRBI ERA HRA aWHIP 
 
Team,xBat,xPit,xWins,3 Categories Contested
CORN,2.0,1.0,3.0,OBP OPS HRA 
FISHFRY,4.0,5.0,9.0,OBP OPS HRA 
 
